 -0.229668 -3.57476
 -0.114289 20.6518
 -1.60047 -33.1218
 -1.56043 -5.61396
 -2.21665 -26.3031
 -2.67906 -20.5406
 -3.18984 -28.5523
 -3.6039 -27.6355
 -3.99112 -31.3092
 -4.33114 -30.9074
 -4.69718 -32.7217
 -5.06417 -33.2098
 -5.48249 -34.6598
 -5.92482 -35.5382
 -6.40588 -36.6332
 -6.93015 -37.6929
 -7.49421 -38.8259
 -8.10098 -39.8904
 -8.76242 -41.0781
 -9.46523 -42.1692
 -10.2238 -43.3608
 -11.0328 -44.4419
 -11.8991 -45.6388
 -12.8149 -46.708
 -13.7935 -47.8832
 -14.8224 -48.9307
 -15.9161 -50.0639
 -17.0607 -51.0717
 -18.2723 -52.1293
 -19.5346 -53.0879
 -20.8623 -54.0502
 -22.2431 -54.9404
 -23.684 -55.7892
 -25.1808 -56.5888
 -26.7309 -57.3086
 -28.3379 -57.9875
 -29.9912 -58.5684
 -31.699 -59.0996
 -33.4479 -59.5287
 -35.2436 -59.888
 -37.0771 -60.1503
 -38.9463 -60.3183
 -40.8487 -60.3937
 -42.7754 -60.3568
 -44.7269 -60.2249
 -46.6916 -59.9727
 -48.6691 -59.6163
 -50.6493 -59.1383
 -52.6278 -58.545
 -54.597 -57.8308
 -56.5491 -56.993
 -58.478 -56.0346
 -60.3738 -54.9495
 -62.2303 -53.7432
 -64.0378 -52.4115
 -65.7887 -50.9587
 -67.4738 -49.3848
 -69.0847 -47.6929
 -70.6126 -45.8862
 -72.0486 -43.9682
 -73.3843 -41.9443
 -74.611 -39.819
 -75.7207 -37.5992
 -76.7051 -35.2914
 -77.5568 -32.9035
 -78.2686 -30.4439
 -78.8337 -27.9217
 -79.2461 -25.347
 -79.5004 -22.7303
 -79.5919 -20.0828
 -79.5166 -17.4164
 -79.2718 -14.7434
 -78.8553 -12.0766
 -78.2662 -9.42913
 -77.5045 -6.81465
 -76.5716 -4.24678
 -75.4698 -1.73938
 -74.2029 0.693716
 -72.7756 3.03881
 -71.1943 5.2824
 -69.4663 7.41134
 -67.6003 9.41301
 -65.6063 11.2753
 -63.4956 12.9871
 -61.2803 14.5378
 -58.9739 15.9182
 -56.591 17.1199
 -54.1468 18.136
 -51.6575 18.961
 -49.14 19.5906
 -46.6117 20.0224
 -44.0904 20.2556
 -41.5942 20.2908
 -39.141 20.131
 -36.749 19.7804
 -34.4356 19.2454
 -32.218 18.534
 -30.1126 17.6563
 -28.1347 16.6238
 -26.2986 15.4497
 -24.6174 14.149
 -23.1023 12.7378
 -21.7633 11.2337
 -20.6082 9.65518
 -19.6428 8.02176
 -18.871 6.35362
 -18.2944 4.67131
 -17.9123 2.99562
 -17.7216 1.34724
 -17.7169 -0.25354
 -17.8908 -1.78695
 -18.2331 -3.23429
 -18.7319 -4.57789
 -19.373 -5.80165
 -20.1406 -6.89111
 -21.017 -7.83378
 -21.9834 -8.61934
 -23.0194 -9.23978
 -24.104 -9.68962
 -25.2157 -9.966
 -26.3327 -10.0687
 -27.4332 -10.0003
 -28.496 -9.76607
 -29.5008 -9.37392
 -30.4283 -8.83429
 -31.2608 -8.16011
 -31.9825 -7.36641
 -32.5797 -6.47022
 -33.0409 -5.49022
 -33.3575 -4.44642
 -33.5235 -3.35978
 -33.5359 -2.25188
 -33.3947 -1.14446
 -33.1028 -0.0590032
 -32.6662 0.983653
 -32.0936 1.96376
 -31.3965 2.86306
 -30.5889 3.66516
 -29.6868 4.35589
 -28.7083 4.92358
 -27.6726 5.35937
 -26.6004 5.65734
 -25.5125 5.8147
 -24.4301 5.83182
 -23.3741 5.71226
 -22.3643 5.46264
 -21.4194 5.09254
 -20.5562 4.61423
 -19.7894 4.04238
 -19.1313 3.39373
 -18.5912 2.68663
 -18.1755 1.94061
 -17.8873 1.17589
 -17.7265 0.412802
 -17.6896 -0.328658
 -17.7702 -1.02942
 -17.9588 -1.67182
 -18.243 -2.24007
 -18.6083 -2.7207
 -19.0382 -3.10289
 -19.5146 -3.37881
 -20.0186 -3.54376
 -20.5309 -3.59638
 -21.0321 -3.53858
 -21.5039 -3.37551
 -21.929 -3.11539
 -22.2921 -2.76923
 -22.5799 -2.35046
 -22.782 -1.87453
 -22.8907 -1.35837
 -22.9018 -0.819861
 -22.8141 -0.277263
 -22.6297 0.251406
 -22.3542 0.748953
 -21.9958 1.19957
 -21.5655 1.58938
 -21.0768 1.90685
 -20.5448 2.14322
 -19.9858 2.29274
 -19.4167 2.35287
 -18.8548 2.32433
 -18.3165 2.21104
 -17.817 2.01997
 -17.37 1.76078
 -16.9868 1.44553
 -16.676 1.08811
 -16.4436 0.703726
 -16.2922 0.308307
 -16.2211 -0.0821486
 -16.2269 -0.452195
 -16.3027 -0.787555
 -16.4394 -1.07568
 -16.6253 -1.30624
 -16.8473 -1.47153
 -17.091 -1.56676
 -17.3413 -1.5902
 -17.5833 -1.54324
 -17.803 -1.43029
 -17.9876 -1.25852
 -18.1261 -1.03755
 -18.2101 -0.77895
 -18.2336 -0.495722
 -18.1938 -0.201682
 -18.0907 0.0891879
 -17.9275 0.363383
 -17.71 0.608504
 -17.4465 0.813825
 -17.1474 0.970787
 -16.8246 1.07337
 -16.4908 1.11836
 -16.1593 1.10546
 -15.8425 1.03726
 -15.5523 0.919083
 -15.2986 0.758641
 -15.0894 0.56564
 -14.9303 0.351234
 -14.8241 0.127422
 -14.7707 -0.0935929
 -14.7673 -0.300056
 -14.8086 -0.481283
 -14.8869 -0.628219
 -14.9928 -0.733919
 -15.1155 -0.793881
 -15.2438 -0.806276
 -15.3662 -0.771999
 -15.472 -0.694573
 -15.5519 -0.579924
 -15.5981 -0.435973
 -15.6051 -0.272174
 -15.57 -0.0989095
 -15.4923 0.07313
 -15.3743 0.233581
 -15.2206 0.373056
 -15.038 0.483664
 -14.8348 0.559501
 -14.6205 0.596971
 -14.4051 0.594971
 -14.1986 0.554936
 -14.0099 0.480684
 -13.8468 0.378161
 -13.7153 0.254988
 -13.619 0.119969
 -13.5592 -0.017531
 -13.535 -0.148218
 -13.5429 -0.263457
 -13.5773 -0.355915
 -13.6312 -0.41995
 -13.6963 -0.45205
 -13.7636 -0.451013
 -13.8246 -0.417954
 -13.8711 -0.356292
 -13.8964 -0.271335
 -13.8954 -0.169986
 -13.8651 -0.0601711
 -13.8047 0.0498043
 -13.7157 0.151742
 -13.6018 0.238313
 -13.4685 0.303476
 -13.3224 0.342939
 -13.1714 0.354519
 -13.0232 0.338166
 -12.8853 0.296035
 -12.7644 0.232228
 -12.6655 0.152446
 -12.5919 0.063542
 -12.5448 -0.0270774
 -12.5232 -0.112034
 -12.5242 -0.184573
 -12.5431 -0.23912
 -12.5739 -0.271708
 -12.6097 -0.280281
 -12.6433 -0.264844
 -12.6682 -0.227424
 -12.6784 -0.171868
 -12.6697 -0.103498
 -12.6393 -0.0286083
 -12.5867 0.046065
 -12.5131 0.113966
 -12.4218 0.169274
 -12.3175 0.20742
 -12.206 0.22547
 -12.0936 0.222367
 -11.9868 0.199003
 -11.8911 0.158102
 -11.8113 0.10395
 -11.7503 0.0419721
 -11.7094 -0.0217888
 -11.688 -0.0812491
 -11.6836 -0.130861
 -11.6922 -0.166136
 -11.7086 -0.184058
 -11.7272 -0.183359
 -11.742 -0.164615
 -11.7478 -0.130168
 -11.7402 -0.08387
 -11.7164 -0.0306766
 -11.6754 0.0238606
 -11.6177 0.0741645
 -11.5457 0.1152
 -11.4633 0.142982
 -11.3753 0.154972
 -11.2871 0.150329
 -11.2041 0.129966
 -11.1308 0.0964432
 -11.071 0.0536684
 -11.0267 0.0064672
 -10.9984 -0.0399476
 -10.9847 -0.0805448
 -10.9829 -0.111021
 -10.9888 -0.128263
 -10.9977 -0.13068
 -11.0046 -0.118361
 -11.0046 -0.093048
 -10.9941 -0.0579187
 -10.9705 -0.0172126
 -10.9327 0.0242658
 -10.8817 0.0617053
 -10.8195 0.0908446
 -10.7498 0.108463
